name,year
Maruti Alto 800 VXI BSIV,2016
Maruti Alto 800 LXI BSIV,2016
Maruti Swift VDI BSIV W ABS,2015
Hyundai i10 Era 1.1,2012
Maruti Omni 8 Seater BSIV,2017
Maruti Wagon R LXI LPG BSIV,2010
Volkswagen Polo 1.2 MPI Comfortline,2015
Hyundai i10 Magna 1.1L,2015
Volkswagen Vento Petrol Highline,2012
Maruti Zen Estilo LXI BSIII,2009
Hyundai i20 Asta Optional with Sunroof 1.2,2013
Maruti Swift Dzire LDI,2016
Hyundai Xcent 1.2 Kappa SX Option AT,2016
Maruti Alto LX BSIII,2008
Hyundai i20 1.4 Asta Option,2017
Maruti Wagon R VXI,2009
Tata Manza Aura (ABS) Quadrajet,2010
Maruti Swift VXI,2019
Maruti Eeco 7 Seater Standard BSIV,2016
Maruti Baleno Zeta 1.2,2018
Mahindra Scorpio VLX AT AIRBAG BSIV,2014
Ford Freestyle Titanium Petrol BSIV,2020
Hyundai Verna VTVT 1.6 SX,2017
Volkswagen Passat 1.8 TSI MT,2010
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010
Mahindra XUV500 W11 Option AWD,2019
Tata Indigo CS LS (TDI) BS-III,2016
Hyundai Verna 1.6 SX,2013
Hyundai i20 Magna 1.4 CRDi (Diesel),2013
Toyota Corolla Altis G,2009
Maruti Celerio VXI,2020
Maruti Vitara Brezza ZDi Plus Dual Tone,2016
Maruti Swift Dzire VXI,2017
Maruti Wagon R VXI BS IV,2017
Maruti Swift VDI BSIV,2010
Nissan Terrano XL 85 PS,2014
Hyundai Creta 1.6 CRDi SX,2016
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017
Maruti Swift Dzire VDi,2012
Renault KWID 1.0,2018
Maruti Celerio VXI,2015
Maruti Alto LXi,2008
Maruti Ertiga VDI,2013
Hyundai Santro Xing GLS,2009
Maruti Ertiga VDI,2015
Honda Amaze S i-VTEC,2019
Audi Q5 35TDI Premium Plus,2018
Lexus ES 300h,2019
Jaguar XF 2.0 Diesel Portfolio,2017
Jeep Wrangler 2016-2019 3.6 4X4,2017
Land Rover Discovery Sport TD4 SE,2019
Mercedes-Benz S-Class S 350 CDI,2017
BMW 5 Series 520d Sport Line,2018
BMW X1 sDrive 20D xLine,2017
BMW X4 M Sport X xDrive20d,2019
Skoda Superb LK 1.8 TSI AT,2018
Mercedes-Benz E-Class E250 Edition E,2016
MG Hector Sharp AT BSIV,2019
Honda City i-VTEC CVT VX,2017
Toyota Corolla Altis 1.8 G CVT,2013
Volvo XC40 D4 R-Design,2018
Audi Q7 35 TDI Quattro Premium,2015
Maruti Ciaz ZDi,2015
Mercedes-Benz S-Class S 350 CDI,2017
BMW 5 Series 523i,2010
Hyundai Elantra S,2016
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018
Volkswagen Vento Petrol Highline,2011
Hyundai Elantra SX,2012
Skoda Rapid 1.6 MPI AT Elegance,2016
Mercedes-Benz CLA 200 CGI Sport,2018
Maruti Ertiga ZXI,2014
Mercedes-Benz New C-Class C 200 AVANTGARDE,2017
Honda City V AT,2017
Toyota Glanza V CVT,2019
Maruti Alto K10 VXI,2011
Maruti Swift VXI,2012
Toyota Innova Crysta 2.8 ZX AT BSIV,2016
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018
BMW 3 Series 320d Luxury Line,2016
Toyota Camry 2.5 Hybrid,2016
BMW 5 Series 520d Luxury Line,2016
Toyota Camry W4 (AT),2009
Maruti Ertiga BSIV ZXI Plus,2016
Volvo XC90 T8 Excellence BSIV,2017
Volkswagen Vento Diesel Highline,2011
Ford Figo Aspire 1.2 Ti-VCT Trend,2018
Ford Figo Diesel LXI,2011
Maruti Swift VXI Optional,2015
Maruti Wagon R AMT VXI,2015
Hyundai i20 Magna 1.2,2016
Maruti 800 Std,1999
Maruti Ritz VDi,2010
Hyundai Grand i10 Magna,2015
Volkswagen Ameo 1.0 MPI Trendline,2019
Hyundai Grand i10 Sportz,2014
Maruti Swift Dzire VXI,2014
Hyundai Xcent 1.2 Kappa S,2016
Honda City 1.5 EXI,2005
Toyota Corolla Altis Diesel D4DG,2010
Daewoo Matiz SD,2000
Toyota Fortuner 4x2 Manual,2014
Mahindra KUV 100 mFALCON G80 K8,2016
Tata Zest Quadrajet 1.3 75PS XM,2017
Honda City 1.5 S MT,2009
Maruti Zen LXI,2005
Maruti Wagon R VXI BS IV with ABS,2010
Hyundai Verna Transform SX VTVT,2010
Maruti Swift Dzire VXI,2016
Hyundai Getz GLS,2005
Hyundai Elite i20 Sportz Plus BSIV,2020
Maruti Ciaz 1.3 Alpha,2017
Tata Tigor 1.2 Revotron XZ,2019
Maruti Ertiga VDI,2015
Toyota Etios GD,2012
Honda City i VTEC S,2015
Honda Brio S MT,2014
Maruti Wagon R LXI CNG,2016
Maruti Swift Dzire VXI,2017
Hyundai i20 Sportz 1.2,2013
Maruti Omni E 8 Str STD,2003
Maruti Wagon R AMT VXI,2018
Maruti Swift Dzire VXI 1.2,2017
Maruti Alto 800 LXI,2018
Maruti Swift Dzire AMT VXI BS IV,2018
Maruti Swift VXI Optional,2017
Tata Hexa XE,2019
Hyundai i20 Magna,2013
Maruti Swift Dzire VDI,2018
Maruti Wagon R VXI BS IV,2015
Toyota Corolla Altis 1.8 VL AT,2012
Honda Brio S MT,2012
Maruti Baleno Alpha Automatic,2018
Tata Safari Storme EX,2017
Maruti Alto LXi,2011
Renault KWID RXT,2018
Datsun GO T BSIV,2017
Maruti Vitara Brezza VDi Option,2017
Hyundai Xcent 1.2 VTVT SX,2020
Maruti Alto 800 LXI,2015
Hyundai i20 1.2 Sportz,2012
Tata Zest Revotron 1.2 XT,2018
Maruti Swift 1.3 VXi,2008
Nissan Sunny XL,2014
Ford EcoSport 1.5 Petrol Titanium Plus BSIV,2018
Nissan Micra Active XV S,2015
Maruti Wagon R LXI Optional,2016
Mahindra Ssangyong Rexton RX5,2013
Mahindra Quanto C8,2013
Maruti Ritz LDi,2010
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,2017
Renault KWID RXT,2016
Maruti Ertiga VDI,2015
Mahindra XUV500 W4,2015
Maruti Eeco 5 Seater AC BSIV,2017
Hyundai Santro Xing GLS,2011
Hyundai Accent GLE,2007
Mahindra XUV500 W8 2WD,2012
Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,2013
Maruti Swift Dzire VDI,2013
Honda Amaze S CVT Petrol BSIV,2019
Hyundai i10 Sportz 1.2,2009
Maruti Swift Dzire VDI,2014
Maruti Ertiga SHVS ZDI Plus,2016
Hyundai Getz 1.3 GVS,2008
Hyundai i20 1.2 Magna,2012
Tata Indica DLS,2005
Maruti Swift LXI Optional-O,2015
Tata Indica Vista TDI LS,2013
Hyundai i20 2015-2017 Asta 1.4 CRDi,2017
Maruti Ignis 1.3 Alpha,2017
Tata Hexa XTA,2017
Mahindra Marazzo M6 8Str,2019
Hyundai Verna 1.6 CRDI,2013
Maruti Swift Dzire VDI,2012
Maruti Swift Dzire LDi,2012
Honda City i DTEC V,2015
Maruti Swift Dzire ZDi,2012
Hyundai Xcent 1.2 CRDi E,2017
Toyota Fortuner 3.0 Diesel,2011
Tata Tiago 1.05 Revotorq XZ,2016
Nissan Sunny XL AT Special Edition,2013
Hyundai Elite i20 Magna Plus BSIV,2019
Maruti Swift Dzire VXI,2015
Toyota Innova 2.5 GX 7 STR,2011
Mahindra Thar CRDe,2017
Maruti Swift Dzire ZDi,2012
Maruti Swift 1.2 DLX (Only Delhi),2014
Datsun GO D Petrol,2019
Hyundai i20 Asta 1.4 CRDi,2015
Mahindra Scorpio LX,2011
Tata Sumo Gold EX BSIII,2015
Tata Tiago Wizz 1.05 Revotorq,2017
Tata Zest Revotron 1.2 XT,2015
Hyundai Accent GLE,2008
Honda Brio Exclusive Edition,2014
Hyundai Grand i10 AT Asta,2015
Tata Manza Club Class Quadrajet90 LX,2012
Maruti Alto LX,2005
Tata New Safari DICOR 2.2 EX 4x2,2011
Mahindra Bolero SLE,2009
Mahindra Bolero DI DX 7 Seater,2007
Mercedes-Benz GL-Class 220d 4MATIC Sport,2018
Maruti Omni E MPI STD BS IV,2016
Hyundai Grand i10 Sportz,2017
Hyundai Grand i10 Sportz,2017
Hyundai i10 Sportz AT,2013
Maruti Swift VXI Deca,2016
Hyundai i10 Sportz AT,2011
Maruti Swift VXI,2012
Maruti Swift VXI,2012
Mahindra Bolero 2011-2019 ZLX,2014
Hyundai Verna 1.6 SX VTVT (O),2014
Hyundai i20 Active 1.2,2015
Maruti Baleno Zeta,2019
Hyundai i20 1.2 Asta,2010
Maruti Alto LXI,2005
Maruti Swift Dzire VDI,2017
Maruti Swift Dzire VXI,2014
Hyundai Grand i10 CRDi Sportz,2015
Maruti Swift 1.3 VXi,2010
Maruti Swift Dzire VXI,2014
Chevrolet Beat LS,2012
Tata Tigor 1.2 Revotron XZA,2018
Maruti 800 Std,2006
Honda City i-DTEC VX,2017
Honda City i-DTEC VX,2017
Maruti Ertiga VXI,2013
Nissan Terrano XV Premium 110 PS,2014
Honda City i VTEC VX,2014
Mahindra Willys CJ 3B 4X4,1983
Renault KWID RXL,2016
Toyota Innova 2.5 GX (Diesel) 8 Seater,2013
Maruti Wagon R VXI BS IV,2017
Hyundai Creta 1.4 CRDi S Plus,2018
Tata Tiago 1.2 Revotron XZ,2017
Hyundai Grand i10 1.2 CRDi Sportz,2018
Maruti Baleno Zeta Automatic,2016
Maruti Swift ZXI ABS,2011
Maruti Swift Dzire VXi AT,2012
Maruti Swift LXI Option,2014
Hyundai i20 1.2 Asta,2010
Maruti Zen LXI,2003
Maruti Celerio LXI,2017
Toyota Innova 2.5 V Diesel 8-seater,2007
Maruti Ritz LDi,2011
Nissan Micra Diesel XV,2011
Maruti Zen LXI,2002
Hyundai Verna 1.6 SX VTVT (O),2013
Maruti Zen Estilo LXI BSIII,2007
Hyundai Santro Xing XL,2005
Maruti Alto LX,2005
Maruti Swift Dzire ZDi,2011
Maruti A-Star Vxi,2010
Maruti Ertiga VDI,2013
Maruti Swift Ldi BSIII,2008
Nissan Micra Diesel XV,2011
Maruti Wagon R LXI,2005
Ford Figo Diesel Titanium,2010
Mahindra XUV300 W8 Option BSIV,2019
Hyundai Creta 1.6 CRDi AT SX Plus,2017
Maruti Swift VXI BSIV,2018
Datsun GO T Option BSIV,2016
Hyundai Grand i10 Asta,2015
Toyota Fortuner 2.8 2WD MT BSIV,2018
Renault KWID RXL,2018
Honda Brio 1.2 VX MT,2012
Volkswagen Ameo 1.2 MPI Comfortline Plus,2019
Nissan Sunny XV Special Edition,2012
Toyota Etios Liva GD SP,2013
Hyundai i10 Sportz,2009
Renault Duster 85PS Diesel RxL,2014
Mahindra XUV500 W8 2WD,2012
Toyota Innova 2.5 V Diesel 7-seater,2008
Tata Indigo CS eGLX BS IV,2011
Hyundai Elantra SX AT,2013
Mercedes-Benz New C-Class 220 CDI AT,2013
Tata Nano STD,2012
Nissan Micra Diesel XL,2013
Maruti Wagon R LXI,2005
Maruti Swift Dzire VDI,2016
Hyundai i10 Magna,2010
Renault KWID RXT,2016
Volkswagen GTI 1.8 TSI,2016
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017
Lexus ES 300h,2019
Jaguar XF 2.0 Diesel Portfolio,2017
Tata Safari Storme EX,2015
Volvo XC40 D4 Inscription BSIV,2019
Toyota Camry 2.5 Hybrid,2016
Maruti Wagon R LXI,2013
Maruti Baleno Alpha 1.3,2018
Honda Jazz VX,2016
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013
Maruti Swift AMT VVT VXI,2019
Toyota Etios VX,2017
Maruti Swift AMT ZXI,2018
Hyundai Grand i10 1.2 CRDi Sportz,2017
BMW X4 M Sport X xDrive20d,2019
BMW X4 M Sport X xDrive20d,2019
Honda Amaze V CVT Petrol BSIV,2019
Skoda Rapid 1.6 MPI AT Elegance,2016
Volvo V40 D3 R-Design,2018
Hyundai i10 Magna,2010
Toyota Etios Liva Diesel TRD Sportivo,2012
Honda CR-V 2.4L 4WD AT,2009
Maruti Swift Dzire VDI,2015
Hyundai Verna 1.6 SX CRDi (O),2014
Toyota Innova 2.5 G1 Diesel 8-seater,2005
Maruti SX4 Celebration Diesel,2012
Hyundai Verna XXi ABS (Petrol),2009
Hyundai Verna CRDi SX,2009
Maruti Alto 800 VXI,2016
Honda City i-VTEC CVT V,2018
Maruti Swift Dzire AMT VDI,2017
Tata Indigo LS,2012
Maruti Eeco CNG 5 Seater AC,2020
Maruti Alto K10 VXI,2014
Mahindra XUV500 AT W10 AWD,2016
Maruti Alto K10 LXI,2010
Hyundai EON Sportz,2013
Tata Tiago 1.2 Revotron XE,2018
Maruti Eeco Smiles 5 Seater AC,2013
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017
Lexus ES 300h,2019
Jaguar XF 2.0 Diesel Portfolio,2017
Tata Safari Storme EX,2015
Volvo XC40 D4 Inscription BSIV,2019
Toyota Camry 2.5 Hybrid,2016
Maruti Wagon R LXI,2013
Maruti Baleno Alpha 1.3,2018
Honda Jazz VX,2016
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013
Maruti Swift AMT VVT VXI,2019
Toyota Etios VX,2017
Maruti Swift AMT ZXI,2018
Hyundai Grand i10 1.2 CRDi Sportz,2017
BMW X4 M Sport X xDrive20d,2019
BMW X4 M Sport X xDrive20d,2019
Honda Amaze V CVT Petrol BSIV,2019
Skoda Rapid 1.6 MPI AT Elegance,2016
Volvo V40 D3 R-Design,2018
Honda Amaze S CVT Diesel BSIV,2019
Hyundai Creta 1.4 CRDi Base,2017
Maruti Alto LXi BSIII,2010
Hyundai Xcent 1.1 CRDi S Option,2015
Toyota Innova 2.5 G (Diesel) 7 Seater,2015
Toyota Etios Liva Diesel,2013
Maruti Swift Dzire ZDI Plus,2017
Toyota Innova 2.5 V Diesel 7-seater,2008
Nissan Micra Diesel XV,2011
Maruti 800 AC BSIII,2009
Maruti Swift Dzire VDI,2013
Volkswagen Polo 1.5 TDI Highline,2015
Mahindra Verito 1.5 D2 BSIII,2011
Maruti 800 AC BSIII,2004
Maruti Swift VDI Optional,2016
Hyundai Xcent 1.2 Kappa S Option,2015
Maruti 800 Std,2010
Maruti Celerio VXI,2014
Ford Figo Diesel EXI,2015
Tata Safari DICOR 2.2 LX 4x2,2012
Ford Figo 1.2P Titanium Plus MT,2016
Maruti Celerio ZXI,2014
Hyundai Creta 1.6 VTVT S,2016
Maruti Swift Dzire VXI 1.2,2019
Tata Hexa XT,2018
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2018
Hyundai i20 Active 1.4 SX with AVN,2015
Hyundai i20 Asta 1.4 CRDi,2012
Honda Amaze S CVT Diesel BSIV,2019
Mahindra Bolero 2011-2019 SLE,2015
Nissan Terrano XL Plus 85 PS,2015
Maruti Swift VXI Windsong Limited edition,2015
Datsun RediGO 1.0 S,2020
Toyota Innova 2.5 G (Diesel) 7 Seater,2012
Hyundai i20 Magna 1.2,2015
Toyota Innova 2.5 VX (Diesel) 7 Seater,2015
Maruti Baleno Alpha 1.3,2017
Renault Duster 110PS Diesel RxZ,2018
Chevrolet Enjoy 1.3 TCDi LS 7,2016
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2017
Toyota Fortuner 4x2 AT,2015
Maruti Swift Dzire VDI,2016
Toyota Fortuner 4x2 AT,2015
Chevrolet Captiva LT,2011
Tata Indica Vista Aqua 1.4 TDI,2011
Nissan Micra Active XL Petrol,2016
Hyundai Verna Transform CRDi VGT SX ABS,2010
Mahindra KUV 100 mFALCON D75 K8,2016
Maruti Ertiga VXI,2014
Ford Fiesta Titanium 1.5 TDCi,2013
Tata Indigo CS LX DiCOR,2010
Hyundai i10 Magna 1.1L,2008
Maruti A-Star Vxi,2010
Maruti Wagon R VXI BSIII,2011
Hyundai Verna 1.6 CRDi S,2015
Maruti Ertiga SHVS VDI,2016
Maruti Swift VDI BSIV,2017
Hyundai Verna 1.6 VTVT S Option,2016
Maruti Swift VDI BSIV,2014
Mahindra KUV 100 D75 K6 Plus,2020
Kia Seltos HTE D,2019
Hyundai Xcent 1.2 VTVT S,2018
Honda Brio 1.2 S MT,2016
Maruti Alto 800 LXI,2014
Maruti Celerio LDi,2016
Maruti Swift Dzire VXi,2008
Volkswagen Vento Diesel Trendline,2011
Chevrolet Beat LS,2013
Toyota Etios Liva GD,2013
Hyundai Grand i10 AT Asta,2015
Maruti Swift Dzire VDI,2019
Honda Civic 1.8 V AT,2007
Maruti Ertiga BSIV VXI,2016
Maruti Alto 800 VXI,2017
Maruti Alto 800 VXI,2016
Chevrolet Beat Diesel LT,2013
Tata Tiago 1.2 Revotron XZ,2017
Chevrolet Beat Diesel LT,2012
Tata New Safari DICOR 2.2 VX 4x2,2009
Ford Figo Petrol EXI,2012
Tata Indica V2 2001-2011 DLS BSIII,2009
Maruti Swift Dzire VDI,2016
Maruti Swift Dzire VDI,2018
Datsun RediGO S,2017
Maruti Alto K10 LXI,2011
Maruti Swift Dzire LDi,2008
Tata Indica V2 DLX BSII,2011
Mahindra Bolero 2011-2019 DI 4WD NON AC,2012
Maruti Swift VDI BSIV,2010
Hyundai i20 Asta Option 1.2,2016
Hyundai EON Era Plus,2013
Maruti Eeco 7 Seater Standard BSIV,2016
Maruti Swift Dzire 1.2 Vxi BSIV,2012
Maruti Swift Dzire VXI,2014
Chevrolet Beat LT,2015
Tata Tiago 1.2 Revotron XZ,2017
Chevrolet Sail 1.2 LS ABS,2016
Maruti Alto LXi BSIII,2009
Jeep Compass 2.0 Longitude Option BSIV,2018
Honda City i VTEC VX,2015
Volkswagen Vento Diesel Highline,2012
Maruti Alto K10 2010-2014 VXI,2011
Hyundai i20 1.2 Asta Option,2018
Tata Venture EX 7 Str Captain Seats,2014
Maruti Ertiga VXI,2015
Hyundai i20 Magna,2014
Hyundai EON Magna Plus,2017
Maruti Estilo LXI,2010
Hyundai Getz GLX,2007
Maruti Alto LXi,2009
Chevrolet Sail 1.2 LS,2015
Maruti Swift VDI BSIV,2008
Tata Zest Revotron 1.2T XM,2015
Ford Classic 1.4 Duratorq CLXI,2013
Maruti Alto LXI,2002
Toyota Innova 2.5 G (Diesel) 8 Seater,2013
Mahindra Bolero SLX,2010
Maruti Alto 800 LXI,2015
Maruti Wagon R VXI BS IV,2015
Maruti Swift Dzire VDi,2009
Tata Safari Storme EX,2015
Maruti Vitara Brezza ZDi Plus Dual Tone,2017
Toyota Innova Crysta 2.8 ZX AT BSIV,2016
Hyundai Creta 1.6 CRDi SX,2016
Maruti Vitara Brezza VDi,2018
Hyundai i20 1.2 Spotz,2018
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2018
Honda Jazz 1.2 VX i VTEC,2016
Honda BR-V i-VTEC S MT,2017
Hyundai Verna S,2012
Nissan Micra XV CVT,2015
Ford Figo Aspire 1.2 Ti-VCT Trend,2018
Hyundai EON Sportz,2017
Datsun RediGO T Option,2018
Ford Freestyle Titanium Petrol BSIV,2018
Hyundai Santro Sportz AMT BSIV,2019
Ford EcoSport 1.5 Diesel Trend BSIV,2014
Nissan Sunny XL D,2018
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2018
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2016
Hyundai i20 1.4 CRDi Asta,2011
Jeep Compass 2.0 Limited,2017
Maruti Ertiga ZDI,2013
Tata Manza Aura Quadrajet,2010
Maruti Wagon R LXI,2004
Skoda Rapid 1.5 TDI Elegance,2015
Hyundai Verna 1.6 CRDi EX AT,2013
Maruti Alto K10 LXI,2011
Maruti Alto K10 LXI,2011
Mahindra Scorpio 1.99 S10,2016
Renault Duster 110PS Diesel RxZ,2012
Mahindra XUV500 W4,2014
Maruti Alto 800 LXI Optional,2016
Ford Figo Diesel Celebration Edition,2013
Hyundai i10 Magna 1.2 iTech SE,2012
Maruti Swift Dzire VXI 1.2,2020
Mahindra Bolero 2011-2019 SLX,2012
Maruti Wagon R VXI Optional,2015
Hyundai EON Magna Plus,2015
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2009
Mitsubishi Pajero Sport 4X4,2013
Chevrolet Beat Diesel LS,2016
Volkswagen Ameo 1.5 TDI Comfortline,2017
Toyota Etios VX,2012
Hyundai EON Era Plus,2012
Renault KWID RXT,2016
Maruti Zen Estilo VXI BSIV,2010
Toyota Innova 2.5 G (Diesel) 8 Seater,2015
Maruti Zen Estilo LXI BSIII,2010
Hyundai Verna 1.6 SX,2011
Honda Amaze VX i-DTEC,2013
Maruti Swift VXI BSIV,2015
Toyota Fortuner 2.8 2WD MT,2013
Ford Ecosport 1.5 Ti VCT MT Titanium,2015
Hyundai Grand i10 1.2 Kappa Magna AT,2018
Tata Aria Pride,2011
Tata Sumo CX 10 Str BSIV,2011
Tata Manza Aura Plus Quadrajet,2009
Hyundai i10 Sportz 1.1L,2011
Tata Indigo CS LX (TDI) BS-III,2016
Renault KWID 1.0 RXT Optional,2016
Mahindra Bolero SLX,2011
Mahindra TUV 300 T8,2017
Maruti Swift Dzire LDI,2015
Maruti Alto 800 LXI,2013
Maruti Ertiga SHVS ZDI,2017
Tata Tiago NRG Petrol,2019
Ford Figo Diesel ZXI,2012
Maruti Omni E MPI STD BS IV,2017
Maruti Wagon R LXI BS IV,2011
Hyundai i10 Era,2008
Tata Bolt Revotron XE,2015
Maruti Alto K10 VXI,2017
Maruti Ertiga SHVS VDI,2017
Tata Safari Storme EX,2016
Maruti Alto K10 VXI,2016
Hyundai Grand i10 1.2 CRDi Asta,2019
Renault KWID RXT,2016
Maruti Swift VDI,2011
Mahindra Bolero 2011-2019 SLX,2014
Honda Accord V6 AT,2004
Maruti Alto K10 VXI,2015
Maruti Swift Dzire VDI,2014
Hyundai EON Era Plus,2015
Mahindra Scorpio S10 7 Seater,2016
Maruti Alto K10 VXI,2019
Hyundai Grand i10 CRDi Asta,2014
Ford EcoSport 1.5 TDCi Titanium BSIV,2016
Maruti Wagon R VXI Optional,2016
Mahindra Bolero 2011-2019 DI - AC BS III,2017
Hyundai i20 Asta (o) 1.4 CRDi (Diesel),2010
Tata Bolt Quadrajet XE,2017
Mahindra Thar CRDe,2016
Mahindra Xylo E4 BS IV,2010
Mahindra Xylo E4 BS IV,2010
Maruti Wagon R VXI BS IV,2011
Tata Indica Vista Aura Safire Anniversary Edition,2009
Maruti Wagon R VXI BS IV,2012
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017
Lexus ES 300h,2019
Jaguar XF 2.0 Diesel Portfolio,2017
Tata Safari Storme EX,2015
Volvo XC40 D4 Inscription BSIV,2019
Toyota Camry 2.5 Hybrid,2016
Maruti Wagon R LXI,2013
Maruti Baleno Alpha 1.3,2018
Honda Jazz VX,2016
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013
Maruti Swift AMT VVT VXI,2019
Toyota Etios VX,2017
Maruti Swift AMT ZXI,2018
Hyundai Grand i10 1.2 CRDi Sportz,2017
BMW X4 M Sport X xDrive20d,2019
BMW X4 M Sport X xDrive20d,2019
Honda Amaze V CVT Petrol BSIV,2019
Skoda Rapid 1.6 MPI AT Elegance,2016
Volvo V40 D3 R-Design,2018
Mahindra TUV 300 T8,2015
Maruti A-Star Zxi,2012
Hyundai i10 Asta,2008
Mahindra Thar CRDe AC,2014
Fiat Grande Punto Sport 90BHP,2013
Maruti Alto LXi,2012
Hyundai Getz 1.5 CRDi GVS,2009
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,2018
Mahindra TUV 300 T8,2015
Tata Indica V2 Turbomax DLS BS IV,2012
Hyundai Xcent 1.2 Kappa Base,2016
Mahindra KUV 100 G80 K6 Plus,2018
Maruti Swift Dzire Tour S CNG,2018
Maruti Swift Dzire VXI 1.2,2019
Ford EcoSport 1.5 Diesel Titanium BSIV,2019
Toyota Yaris V CVT BSIV,2018
Mercedes-Benz E-Class E250 CDI Avantgarde,2016
Toyota Fortuner 4x2 4 Speed AT,2012
Mahindra KUV 100 G80 K2,2018
Volkswagen Vento Diesel Highline,2011
Ford Figo 1.2P Titanium Opt MT,2016
Mahindra Bolero 2011-2019 SLE,2013
Hyundai Santro Xing GLS,2014
Hyundai Santro Xing XG,2006
