name,selling_price,km_driven,fuel,mileage,engine,max_power,torque,seats
Maruti Omni E MPI STD BS IV,254999,25000,Petrol,16.8 kmpl,796 CC,34.2 bhp,59Nm@ 2500rpm,8
Maruti Vitara Brezza LDi Option,670000,70000,Diesel,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Fiat Palio 1.2 ELX,70000,50000,Petrol,,,,,
Maruti Omni 8 Seater BSIV,150000,35000,Petrol,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm,5
Hyundai i20 1.2 Asta Dual Tone,730000,2388,Petrol,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5
Maruti Vitara Brezza LDi,650000,16200,Diesel,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Maruti Alto 800 CNG LXI Optional,330000,10000,CNG,33.44 km/kg,796 CC,40.3 bhp,60Nm@ 3500rpm,4
Maruti Alto K10 VXI Airbag,366000,15000,Petrol,23.95 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5
Hyundai Verna VTVT 1.6 SX Option,1149000,5000,Petrol,17.0 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5
Datsun GO D,150000,42000,Petrol,20.63 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,5
Tata Safari DICOR 2.2 LX 4x2,425000,60000,Diesel,13.93 kmpl,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7
Maruti 800 Std,150000,76000,Petrol,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4
Jeep Compass 1.4 Limited Plus BSIV,2100000,5000,Petrol,16.0 kmpl,1368 CC,160.77 bhp,250Nm@ 1750-2500rpm,5
Honda City i VTEC VX,925000,28900,Petrol,17.8 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5
Honda City V MT,425000,86300,Petrol,16.8 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm,5
Maruti Swift Dzire VXi AT,675000,23300,Petrol,18.5 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5
Maruti Vitara Brezza VDi,819999,32600,Diesel,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Maruti Alto K10 VXI,390000,10300,Petrol,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5
Toyota Fortuner 4x4 MT,1500000,77000,Diesel,12.55 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,700000,99000,Diesel,12.99 kmpl,2494 CC,100 bhp,200Nm@ 1400-3400rpm,7
Mercedes-Benz B Class B180,1450000,27800,Diesel,14.8 kmpl,2143 CC,120.7 bhp,200Nm@ 1250-4000rpm,5
Honda Amaze S Diesel,425000,49800,Diesel,24.7 kmpl,1498 CC,98.63 bhp,200Nm@ 1750rpm,5
Mitsubishi Pajero Sport 4X4,1090000,151000,Diesel,13.5 kmpl,2477 CC,175.56 bhp,400Nm@ 2000-2500rpm,7
Honda City i DTEC S,600000,54700,Diesel,26.0 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5
Maruti Ciaz Zeta,850000,64000,Petrol,20.65 kmpl,1462 CC,103.25 bhp,138Nm@ 4400rpm,5
Honda Jazz VX Diesel,525000,63000,Diesel,27.3 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5
Toyota Innova Crysta 2.8 ZX AT BSIV,1650000,127700,Diesel,11.36 kmpl,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7
Toyota Innova 2.5 G (Diesel) 7 Seater,950000,99000,Diesel,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7
Audi A6 2.0 TDI Technology,1750000,33900,Diesel,17.68 kmpl,1968 CC,174.33 bhp,380Nm@ 1750-2500rpm,5
Toyota Corolla Altis 1.8 VL CVT,1590000,25000,Petrol,14.28 kmpl,1798 CC,138.03 bhp,173Nm@ 4000rpm,5
Audi A6 2.0 TDI  Design Edition,1689999,50000,Diesel,18.53 kmpl,1968 CC,187.74 bhp,400Nm@ 1750-3000rpm,5
Mercedes-Benz New C-Class 220 CDI AT,1425000,59000,Diesel,14.84 kmpl,2143 CC,170 bhp,400Nm@ 1400-2800rpm,5
Tata Manza ELAN Quadrajet BS IV,265000,120000,Diesel,21.12 kmpl,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm,5
Hyundai i10 Magna,190000,110000,Petrol,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5
Hyundai i20 Asta 1.4 CRDi,425000,60000,Diesel,21.27 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5
Maruti Swift Dzire ZDI,630000,147000,Diesel,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Ford Figo 1.2P Titanium MT,600000,25000,Petrol,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5
Maruti Baleno Delta 1.2,650000,30000,Petrol,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,540000,40000,Diesel,22.0 kmpl,1498 CC,108.495 bhp,250Nm@ 1500-3000rpm,5
Honda City i DTEC VX,630000,135000,Diesel,25.1 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5
Maruti Wagon R AMT VXI,448000,30000,Petrol,20.51 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5
Volkswagen Ameo 1.5 TDI Comfortline,500000,80000,Diesel,21.66 kmpl,1498 CC,108.62 bhp,250Nm@ 1500-3000rpm,5
Maruti Vitara Brezza VDi,745000,70000,Diesel,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Maruti Vitara Brezza ZDi Plus AMT,1025000,9850,Diesel,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Hyundai i10 Magna,235000,60000,Petrol,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5
Maruti Swift VDI Deca,630000,70000,Diesel,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Toyota Fortuner 4x4 MT,1700000,78000,Diesel,12.55 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7
Maruti Swift Star VDI,450000,120000,Diesel,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Maruti Ertiga ZXI,450000,120000,Petrol,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7
Tata Indica DLS,50000,70000,Diesel,,,,,
Volkswagen Vento Diesel Highline,450000,170000,Diesel,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5
Toyota Innova 2.5 VX (Diesel) 8 Seater,1200000,140000,Diesel,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,8
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,610000,90000,Diesel,22.77 kmpl,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5
BMW X1 sDrive20i xLine,2500000,30000,Petrol,15.71 kmpl,1998 CC,189 bhp,280Nm@ 1350-4600rpm,5
Maruti Celerio ZXI MT BSIV,484999,10000,Petrol,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5
Datsun GO A Petrol,275000,49000,Petrol,19.02 kmpl,1198 CC,67.05 bhp,104Nm@ 4000rpm,5
Maruti Alto 800 VXI BSIV,315000,32000,Petrol,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5
Maruti Alto 800 LXI BSIV,275000,38000,Petrol,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5
Maruti Swift VDI BSIV W ABS,475000,78000,Diesel,,,,,
Hyundai i10 Era 1.1,290000,28000,Petrol,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5
Maruti Omni 8 Seater BSIV,280000,32000,Petrol,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm,5
Maruti Wagon R LXI LPG BSIV,225000,44000,LPG,26.2 km/kg,998 CC,58.2 bhp,77Nm@ 3500rpm,5
Volkswagen Polo 1.2 MPI Comfortline,455000,42000,Petrol,16.47 kmpl,1198 CC,74 bhp,110Nm@ 3750rpm,5
Hyundai i10 Magna 1.1L,351000,45000,Petrol,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5
Volkswagen Vento Petrol Highline,535000,12000,Petrol,15.04 kmpl,1598 CC,103.6 bhp,153Nm@ 3800rpm,5
Maruti Zen Estilo LXI BSIII,175000,55500,Petrol,18.2 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5
Hyundai i20 Asta Optional with Sunroof 1.2,525000,61500,Petrol,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5
Maruti Swift Dzire LDI,600000,150000,Diesel,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Hyundai Xcent 1.2 Kappa SX Option AT,565000,72000,Petrol,19.1 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5
Maruti Alto LX BSIII,120000,68000,Petrol,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5
Hyundai i20 1.4 Asta Option,725000,110000,Diesel,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5
Maruti Wagon R VXI,185000,77000,Petrol,21.79 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5
Tata Manza Aura (ABS) Quadrajet,200000,100000,Diesel,18.8 kmpl,1248 CC,90 bhp,200Nm@ 1750-3000rpm,5
Maruti Swift VXI,615000,10000,Petrol,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
Maruti Eeco 7 Seater Standard BSIV,270000,100000,Petrol,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,7
Maruti Baleno Zeta 1.2,610000,35000,Petrol,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5
Mahindra Scorpio VLX AT AIRBAG BSIV,625000,70000,Diesel,11.79 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8
Ford Freestyle Titanium Petrol BSIV,400000,5000,Petrol,19.0 kmpl,1194 CC,94.68 bhp,120Nm@ 4250rpm,5
Hyundai Verna VTVT 1.6 SX,866000,37800,Petrol,17.0 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5
Volkswagen Passat 1.8 TSI MT,700000,114000,Petrol,14.3 kmpl,1798 CC,160 bhp,250Nm@ 1500~4500rpm,5
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,300000,48000,Petrol,15.8 kmpl,1172 CC,65 bhp,96 Nm at 3000 rpm,5
Mahindra XUV500 W11 Option AWD,1700000,32000,Diesel,15.1 kmpl,2179 CC,155 bhp,360Nm@ 1750-2800rpm,7
Tata Indigo CS LS (TDI) BS-III,375000,100000,Diesel,19.09 kmpl,1405 CC,69.01 bhp,135Nm@ 2500rpm,5
Hyundai Verna 1.6 SX,522000,150000,Diesel,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5
Hyundai i20 Magna 1.4 CRDi (Diesel),451999,69000,Diesel,21.9 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5
Toyota Corolla Altis G,300000,100000,Petrol,14.53 kmpl,1798 CC,138.1 bhp,173Nm@ 4000rpm,5
Maruti Celerio VXI,475000,13000,Petrol,21.63 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5
Maruti Vitara Brezza ZDi Plus Dual Tone,780000,60000,Diesel,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Maruti Swift Dzire VXI,595000,40000,Petrol,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5
Maruti Wagon R VXI BS IV,440000,35000,Petrol,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5
Maruti Swift VDI BSIV,300000,120000,Diesel,,,,,
Nissan Terrano XL 85 PS,400000,70000,Diesel,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5
Hyundai Creta 1.6 CRDi SX,1140000,50000,Diesel,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,850000,76139,Diesel,23.0 kmpl,1498 CC,98.96 bhp,205Nm@ 1750-3250rpm,5
Maruti Swift Dzire VDi,370000,175000,Diesel,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5
Renault KWID 1.0,350000,25000,Petrol,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5
Maruti Celerio VXI,360000,40000,Petrol,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5
Maruti Alto LXi,105000,65000,Petrol,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5
Maruti Ertiga VDI,625000,90000,Diesel,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7
Hyundai Santro Xing GLS,135000,80000,Petrol,17.92 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5
Maruti Ertiga VDI,700000,110000,Diesel,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7
Honda Amaze S i-VTEC,690000,1303,Petrol,17.8 kmpl,1198 CC,86.7 bhp,109Nm@ 4500rpm,5
Audi Q5 35TDI Premium Plus,3975000,31800,Diesel,17.01 kmpl,1968 CC,188 bhp,400nm@ 1750-3000rpm,5
Lexus ES 300h,5150000,20000,Petrol,22.37 kmpl,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5
Jaguar XF 2.0 Diesel Portfolio,3200000,45000,Diesel,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5
Jeep Wrangler 2016-2019 3.6 4X4,4100000,17000,Petrol,9.5 kmpl,3604 CC,280 bhp,347Nm@ 4300rpm,5
Land Rover Discovery Sport TD4 SE,4500000,21000,Diesel,12.83 kmpl,1999 CC,148.31 bhp,382nm@ 1750-2250rpm,7
Mercedes-Benz S-Class S 350 CDI,6000000,37000,Diesel,13.5 kmpl,2987 CC,254.79 bhp,620Nm@ 1600-2400rpm,5
BMW 5 Series 520d Sport Line,3790000,29500,Diesel,22.48 kmpl,1995 CC,187.74 bhp,400Nm@ 1750-2500rpm,5
BMW X1 sDrive 20D xLine,2150000,27000,Diesel,,,,,
BMW X4 M Sport X xDrive20d,5800000,7500,Diesel,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5
Skoda Superb LK 1.8 TSI AT,1864999,50000,Petrol,14.67 kmpl,1798 CC,177.46 bhp,250@ 1250-5000rpm,5
Mercedes-Benz E-Class E250 Edition E,2700000,35000,Diesel,15.0 kmpl,2143 CC,204 bhp,500Nm@ 1600-1800rpm,5
MG Hector Sharp AT BSIV,1750000,19000,Petrol,13.96 kmpl,1451 CC,141 bhp,250Nm@ 1600-3600rpm,5
Honda City i-VTEC CVT VX,795000,41000,Petrol,18.0 kmpl,1497 CC,117.6 bhp,145Nm@ 4600rpm,5
Toyota Corolla Altis 1.8 G CVT,625000,39000,Petrol,14.28 kmpl,1798 CC,138.03 bhp,173Nm@ 4000rpm,5
Volvo XC40 D4 R-Design,3400000,22000,Diesel,18.0 kmpl,1969 CC,190 bhp,400Nm,5
Audi Q7 35 TDI Quattro Premium,2650000,53000,Diesel,12.07 kmpl,2967 CC,241.4 bhp,550Nm@ 1750-2750rpm,7
Maruti Ciaz ZDi,535000,40000,Diesel,26.21 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Mercedes-Benz S-Class S 350 CDI,5850000,47000,Diesel,13.5 kmpl,2987 CC,282 bhp,490Nm@ 1600rpm,5
BMW 5 Series 523i,975000,72200,Petrol,10.8 kmpl,2497 CC,150 bhp,250 Nm at 2750 rpm,5
Hyundai Elantra S,805000,49900,Petrol,16.3 kmpl,1797 CC,147.5 bhp,177.5Nm@ 4700rpm,5
Jaguar XE 2016-2019 2.0L Diesel Prestige,2625000,9000,Diesel,13.6 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,811000,11000,Petrol,17.0 kmpl,1198 CC,108.5 bhp,170Nm@ 1750-4000rpm,5
Volkswagen Vento Petrol Highline,375000,49000,Petrol,15.04 kmpl,1598 CC,103.6 bhp,153Nm@ 3800rpm,5
Hyundai Elantra SX,550000,95000,Petrol,16.3 kmpl,1797 CC,147.5 bhp,177.5Nm@ 4700rpm,5
Skoda Rapid 1.6 MPI AT Elegance,645000,11000,Petrol,14.3 kmpl,1598 CC,103.5 bhp,153Nm@ 3800rpm,5
Mercedes-Benz CLA 200 CGI Sport,2550000,18000,Petrol,15.04 kmpl,1991 CC,183 bhp,300Nm@ 1200-4000rpm,5
Maruti Ertiga ZXI,599000,46100,Petrol,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7
Mercedes-Benz New C-Class C 200 AVANTGARDE,2700000,16000,Petrol,14.74 kmpl,1991 CC,181.04 bhp,300Nm@ 1200-1400rpm,5
Honda City V AT,875000,18000,Petrol,15.6 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm,5
Toyota Glanza V CVT,894999,9654,Petrol,19.56 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
Maruti Alto K10 VXI,175000,11000,Petrol,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5
Maruti Swift VXI,340000,24300,Petrol,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
Toyota Innova Crysta 2.8 ZX AT BSIV,1525000,42163,Diesel,11.36 kmpl,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7
Tata Nexon 1.5 Revotorq XZA Plus DualTone,1025000,8000,Diesel,21.5 kmpl,1497 CC,108.5 bhp,260Nm@ 1500-2750rpm,5
BMW 3 Series 320d Luxury Line,2150000,30000,Diesel,22.69 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5
Toyota Camry 2.5 Hybrid,1900000,41000,Petrol,19.16 kmpl,2494 CC,157.7 bhp,213Nm@ 4500rpm,5
BMW 5 Series 520d Luxury Line,2900000,12000,Diesel,18.12 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5
Toyota Camry W4 (AT),450000,71000,Petrol,12.1 kmpl,2362 CC,164.7 bhp,224Nm@ 4000rpm,5
Maruti Ertiga BSIV ZXI Plus,850000,20000,Petrol,17.5 kmpl,1373 CC,91.1 bhp,130Nm@ 4000rpm,7
Volvo XC90 T8 Excellence BSIV,10000000,30000,Petrol,42.0 kmpl,1969 CC,400 bhp,640Nm@ 1740rpm,4
Volkswagen Vento Diesel Highline,300000,100000,Diesel,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5
Ford Figo Aspire 1.2 Ti-VCT Trend,575000,9500,Petrol,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5
Ford Figo Diesel LXI,160000,120000,Diesel,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5
Maruti Swift VXI Optional,515000,36600,Petrol,20.4 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
Maruti Wagon R AMT VXI,390000,50000,Petrol,20.51 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5
Hyundai i20 Magna 1.2,550000,14000,Petrol,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5
Maruti 800 Std,40000,40000,Petrol,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4
Maruti Ritz VDi,220000,120000,Diesel,21.1 kmpl,1248 CC,73.9 bhp,113Nm@ 4500rpm,5
Hyundai Grand i10 Magna,425000,70000,Petrol,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5
Volkswagen Ameo 1.0 MPI Trendline,480000,13000,Petrol,19.44 kmpl,999 CC,75 bhp,95Nm@ 3000-4300rpm,5
Hyundai Grand i10 Sportz,400000,60000,Petrol,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5
Maruti Swift Dzire VXI,487000,35000,Petrol,19.1 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5
Hyundai Xcent 1.2 Kappa S,386000,44000,Petrol,19.1 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5
Honda City 1.5 EXI,100000,120000,Petrol,13.0 kmpl,1493 CC,100 bhp,13.1kgm@ 4600rpm,5
Toyota Corolla Altis Diesel D4DG,300000,60000,Diesel,21.43 kmpl,1364 CC,87.2 bhp,205Nm@ 1800-2800rpm,5
Daewoo Matiz SD,100000,60000,Petrol,18.5 kmpl,796 CC,53 bhp,71Nm@ 3500rpm,5
Toyota Fortuner 4x2 Manual,1750000,30000,Diesel,13.0 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7
Mahindra KUV 100 mFALCON G80 K8,450000,15000,Petrol,18.15 kmpl,1198 CC,82 bhp,115Nm@ 3500-3600rpm,6
Tata Zest Quadrajet 1.3 75PS XM,490000,90000,Diesel,22.95 kmpl,1248 CC,74 bhp,190Nm@ 1750-3000rpm,5
Honda City 1.5 S MT,345000,47000,Petrol,17.0 kmpl,1497 CC,118 bhp,146Nm at 4800 rpm,5
Maruti Zen LXI,85000,90000,Petrol,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5
Maruti Wagon R VXI BS IV with ABS,215000,120600,Petrol,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5
Hyundai Verna Transform SX VTVT,320000,100000,Petrol,16.2 kmpl,1599 CC,103.2 bhp,14.9 KGM at 3000 RPM,5
Maruti Swift Dzire VXI,459999,60000,Petrol,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5
Hyundai Getz GLS,65000,86000,Petrol,15.3 kmpl,1341 CC,83 bhp,115Nm@ 3200rpm,5
Hyundai Elite i20 Sportz Plus BSIV,720000,5000,Petrol,18.6 kmpl,1197 CC,81.86 bhp,117nm@ 4000rpm,5
Maruti Ciaz 1.3 Alpha,800000,37000,Diesel,28.09 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Tata Tigor 1.2 Revotron XZ,520000,14000,Petrol,20.3 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5
Maruti Ertiga VDI,580000,70000,Diesel,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7
Toyota Etios GD,235000,120000,Diesel,,,,,
Honda City i VTEC S,600000,50000,Petrol,17.4 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5
Honda Brio S MT,290000,60000,Petrol,19.4 kmpl,1198 CC,86.8 bhp,109Nm@ 4500rpm,5
Maruti Wagon R LXI CNG,360000,50000,CNG,26.6 km/kg,998 CC,58.16 bhp,77Nm@ 3500rpm,5
Maruti Swift Dzire VXI,550000,50000,Petrol,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5
Hyundai i20 Sportz 1.2,375000,70000,Petrol,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5
Maruti Omni E 8 Str STD,40000,90000,Petrol,,,,,
Maruti Wagon R AMT VXI,420000,35000,Petrol,20.51 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5
Maruti Swift Dzire VXI 1.2,550000,20000,Petrol,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
Maruti Alto 800 LXI,270000,20000,Petrol,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5
Maruti Swift Dzire AMT VXI BS IV,700000,7800,Petrol,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
