name,seller_type,transmission,owner
Maruti Swift VDI BSIV,Individual,Manual,Second Owner
Nissan Terrano XL 85 PS,Individual,Manual,Third Owner
Hyundai Creta 1.6 CRDi SX,Individual,Manual,First Owner
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,Individual,Manual,First Owner
Maruti Swift Dzire VDi,Individual,Manual,Fourth & Above Owner
Renault KWID 1.0,Individual,Manual,First Owner
Maruti Celerio VXI,Individual,Manual,Second Owner
Maruti Alto LXi,Individual,Manual,Fourth & Above Owner
Maruti Ertiga VDI,Individual,Manual,Second Owner
Hyundai Santro Xing GLS,Individual,Manual,Second Owner
Maruti Ertiga VDI,Individual,Manual,Second Owner
Honda Amaze S i-VTEC,Dealer,Manual,First Owner
Audi Q5 35TDI Premium Plus,Dealer,Automatic,First Owner
Lexus ES 300h,Dealer,Automatic,First Owner
Jaguar XF 2.0 Diesel Portfolio,Dealer,Automatic,First Owner
Jeep Wrangler 2016-2019 3.6 4X4,Individual,Automatic,First Owner
Land Rover Discovery Sport TD4 SE,Dealer,Automatic,First Owner
Mercedes-Benz S-Class S 350 CDI,Dealer,Automatic,First Owner
BMW 5 Series 520d Sport Line,Dealer,Automatic,First Owner
BMW X1 sDrive 20D xLine,Dealer,Automatic,First Owner
BMW X4 M Sport X xDrive20d,Dealer,Automatic,First Owner
Skoda Superb LK 1.8 TSI AT,Dealer,Automatic,First Owner
Mercedes-Benz E-Class E250 Edition E,Dealer,Automatic,First Owner
MG Hector Sharp AT BSIV,Dealer,Automatic,First Owner
Honda City i-VTEC CVT VX,Dealer,Automatic,First Owner
Toyota Corolla Altis 1.8 G CVT,Dealer,Automatic,First Owner
Volvo XC40 D4 R-Design,Dealer,Automatic,First Owner
Audi Q7 35 TDI Quattro Premium,Dealer,Automatic,First Owner
Maruti Ciaz ZDi,Dealer,Manual,First Owner
Mercedes-Benz S-Class S 350 CDI,Dealer,Automatic,First Owner
BMW 5 Series 523i,Dealer,Automatic,Second Owner
Hyundai Elantra S,Dealer,Manual,First Owner
Jaguar XE 2016-2019 2.0L Diesel Prestige,Dealer,Automatic,First Owner
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,Dealer,Manual,First Owner
Volkswagen Vento Petrol Highline,Individual,Manual,First Owner
Hyundai Elantra SX,Individual,Manual,First Owner
Skoda Rapid 1.6 MPI AT Elegance,Dealer,Automatic,First Owner
Mercedes-Benz CLA 200 CGI Sport,Dealer,Automatic,First Owner
Maruti Ertiga ZXI,Dealer,Manual,First Owner
Mercedes-Benz New C-Class C 200 AVANTGARDE,Dealer,Automatic,First Owner
Honda City V AT,Dealer,Automatic,First Owner
Toyota Glanza V CVT,Dealer,Automatic,First Owner
Maruti Alto K10 VXI,Dealer,Manual,First Owner
Maruti Swift VXI,Dealer,Manual,First Owner
Toyota Innova Crysta 2.8 ZX AT BSIV,Dealer,Automatic,Second Owner
Tata Nexon 1.5 Revotorq XZA Plus DualTone,Dealer,Automatic,First Owner
BMW 3 Series 320d Luxury Line,Dealer,Automatic,First Owner
Toyota Camry 2.5 Hybrid,Dealer,Automatic,First Owner
BMW 5 Series 520d Luxury Line,Dealer,Automatic,First Owner
Toyota Camry W4 (AT),Dealer,Automatic,First Owner
Maruti Ertiga BSIV ZXI Plus,Individual,Manual,First Owner
Volvo XC90 T8 Excellence BSIV,Individual,Automatic,First Owner
Volkswagen Vento Diesel Highline,Individual,Manual,Second Owner
Ford Figo Aspire 1.2 Ti-VCT Trend,Individual,Manual,First Owner
Ford Figo Diesel LXI,Individual,Manual,First Owner
Maruti Swift VXI Optional,Individual,Manual,First Owner
Maruti Wagon R AMT VXI,Individual,Automatic,Second Owner
Hyundai i20 Magna 1.2,Individual,Manual,Second Owner
Maruti 800 Std,Individual,Manual,Second Owner
Maruti Ritz VDi,Individual,Manual,First Owner
Hyundai Grand i10 Magna,Individual,Manual,First Owner
Volkswagen Ameo 1.0 MPI Trendline,Individual,Manual,First Owner
Hyundai Grand i10 Sportz,Individual,Manual,Second Owner
Maruti Swift Dzire VXI,Individual,Manual,First Owner
Hyundai Xcent 1.2 Kappa S,Individual,Manual,Second Owner
Honda City 1.5 EXI,Individual,Manual,Second Owner
Toyota Corolla Altis Diesel D4DG,Individual,Manual,First Owner
Daewoo Matiz SD,Individual,Manual,First Owner
Toyota Fortuner 4x2 Manual,Individual,Manual,Second Owner
Mahindra KUV 100 mFALCON G80 K8,Individual,Manual,Second Owner
Tata Zest Quadrajet 1.3 75PS XM,Individual,Manual,First Owner
Honda City 1.5 S MT,Individual,Manual,Second Owner
Maruti Zen LXI,Individual,Manual,First Owner
Maruti Wagon R VXI BS IV with ABS,Individual,Manual,Second Owner
Hyundai Verna Transform SX VTVT,Individual,Manual,Third Owner
Maruti Swift Dzire VXI,Individual,Manual,Second Owner
Hyundai Getz GLS,Individual,Manual,First Owner
Hyundai Elite i20 Sportz Plus BSIV,Individual,Manual,First Owner
Maruti Ciaz 1.3 Alpha,Individual,Manual,First Owner
Tata Tigor 1.2 Revotron XZ,Individual,Manual,First Owner
Maruti Ertiga VDI,Individual,Manual,First Owner
Toyota Etios GD,Individual,Manual,First Owner
Honda City i VTEC S,Individual,Manual,First Owner
Honda Brio S MT,Individual,Manual,Second Owner
Maruti Wagon R LXI CNG,Individual,Manual,First Owner
Maruti Swift Dzire VXI,Individual,Manual,First Owner
Hyundai i20 Sportz 1.2,Individual,Manual,First Owner
Maruti Omni E 8 Str STD,Individual,Manual,Second Owner
Maruti Wagon R AMT VXI,Individual,Automatic,First Owner
Maruti Swift Dzire VXI 1.2,Individual,Manual,First Owner
Maruti Alto 800 LXI,Individual,Manual,First Owner
Maruti Swift Dzire AMT VXI BS IV,Individual,Automatic,First Owner
Maruti Swift VXI Optional,Individual,Manual,First Owner
Tata Hexa XE,Individual,Manual,First Owner
Hyundai i20 Magna,Individual,Manual,Second Owner
Maruti Swift Dzire VDI,Individual,Manual,First Owner
Maruti Wagon R VXI BS IV,Individual,Manual,First Owner
Toyota Corolla Altis 1.8 VL AT,Individual,Automatic,First Owner
Honda Brio S MT,Individual,Manual,First Owner
Maruti Baleno Alpha Automatic,Individual,Automatic,First Owner
Tata Safari Storme EX,Individual,Manual,First Owner
Maruti Alto LXi,Individual,Manual,Second Owner
Renault KWID RXT,Individual,Manual,First Owner
Datsun GO T BSIV,Individual,Manual,Second Owner
Maruti Vitara Brezza VDi Option,Individual,Manual,First Owner
Hyundai Xcent 1.2 VTVT SX,Individual,Manual,First Owner
Maruti Alto 800 LXI,Individual,Manual,First Owner
Hyundai i20 1.2 Sportz,Individual,Manual,Second Owner
Tata Zest Revotron 1.2 XT,Individual,Manual,First Owner
Maruti Swift 1.3 VXi,Individual,Manual,Second Owner
Nissan Sunny XL,Individual,Manual,First Owner
Ford EcoSport 1.5 Petrol Titanium Plus BSIV,Individual,Manual,First Owner
Nissan Micra Active XV S,Individual,Manual,First Owner
Maruti Wagon R LXI Optional,Individual,Manual,First Owner
Mahindra Ssangyong Rexton RX5,Individual,Manual,First Owner
Mahindra Quanto C8,Individual,Manual,Second Owner
Maruti Ritz LDi,Individual,Manual,Second Owner
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,Individual,Manual,First Owner
Renault KWID RXT,Individual,Manual,First Owner
Maruti Ertiga VDI,Individual,Manual,First Owner
Mahindra XUV500 W4,Individual,Manual,First Owner
Maruti Eeco 5 Seater AC BSIV,Individual,Manual,First Owner
Hyundai Santro Xing GLS,Individual,Manual,First Owner
Hyundai Accent GLE,Individual,Manual,Second Owner
Mahindra XUV500 W8 2WD,Individual,Manual,First Owner
Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,Individual,Manual,First Owner
Maruti Swift Dzire VDI,Individual,Manual,First Owner
Honda Amaze S CVT Petrol BSIV,Individual,Automatic,First Owner
Hyundai i10 Sportz 1.2,Individual,Manual,Second Owner
Maruti Swift Dzire VDI,Individual,Manual,Second Owner
Maruti Ertiga SHVS ZDI Plus,Individual,Manual,First Owner
Hyundai Getz 1.3 GVS,Individual,Manual,Second Owner
Hyundai i20 1.2 Magna,Individual,Manual,Second Owner
Tata Indica DLS,Individual,Manual,Second Owner
Maruti Swift LXI Optional-O,Individual,Manual,First Owner
Tata Indica Vista TDI LS,Individual,Manual,First Owner
Hyundai i20 2015-2017 Asta 1.4 CRDi,Individual,Manual,First Owner
Maruti Ignis 1.3 Alpha,Individual,Manual,First Owner
Tata Hexa XTA,Individual,Automatic,First Owner
Mahindra Marazzo M6 8Str,Individual,Manual,First Owner
Hyundai Verna 1.6 CRDI,Individual,Manual,First Owner
Maruti Swift Dzire VDI,Individual,Manual,First Owner
Maruti Swift Dzire LDi,Individual,Manual,First Owner
Honda City i DTEC V,Individual,Manual,Second Owner
Maruti Swift Dzire ZDi,Individual,Manual,First Owner
Hyundai Xcent 1.2 CRDi E,Individual,Manual,Second Owner
Toyota Fortuner 3.0 Diesel,Individual,Manual,Second Owner
Tata Tiago 1.05 Revotorq XZ,Individual,Manual,First Owner
Nissan Sunny XL AT Special Edition,Individual,Automatic,Second Owner
Hyundai Elite i20 Magna Plus BSIV,Individual,Manual,First Owner
Maruti Swift Dzire VXI,Individual,Manual,First Owner
Toyota Innova 2.5 GX 7 STR,Individual,Manual,First Owner
Mahindra Thar CRDe,Individual,Manual,First Owner
Maruti Swift Dzire ZDi,Individual,Manual,First Owner
Maruti Swift 1.2 DLX (Only Delhi),Individual,Manual,First Owner
Datsun GO D Petrol,Individual,Manual,First Owner
Hyundai i20 Asta 1.4 CRDi,Individual,Manual,Fourth & Above Owner
Mahindra Scorpio LX,Individual,Manual,First Owner
Tata Sumo Gold EX BSIII,Individual,Manual,First Owner
Tata Tiago Wizz 1.05 Revotorq,Individual,Manual,First Owner
Tata Zest Revotron 1.2 XT,Individual,Manual,First Owner
Hyundai Accent GLE,Individual,Manual,Third Owner
Honda Brio Exclusive Edition,Dealer,Manual,First Owner
Hyundai Grand i10 AT Asta,Dealer,Automatic,First Owner
Tata Manza Club Class Quadrajet90 LX,Individual,Manual,First Owner
Maruti Alto LX,Individual,Manual,Second Owner
Tata New Safari DICOR 2.2 EX 4x2,Individual,Manual,Third Owner
Mahindra Bolero SLE,Individual,Manual,Second Owner
Mahindra Bolero DI DX 7 Seater,Individual,Manual,Second Owner
Mercedes-Benz GL-Class 220d 4MATIC Sport,Individual,Automatic,First Owner
Maruti Omni E MPI STD BS IV,Individual,Manual,First Owner
Hyundai Grand i10 Sportz,Individual,Manual,First Owner
Hyundai Grand i10 Sportz,Individual,Manual,First Owner
Hyundai i10 Sportz AT,Individual,Automatic,First Owner
Maruti Swift VXI Deca,Individual,Manual,First Owner
Hyundai i10 Sportz AT,Individual,Automatic,First Owner
Maruti Swift VXI,Individual,Manual,Second Owner
Maruti Swift VXI,Individual,Manual,Second Owner
Mahindra Bolero 2011-2019 ZLX,Individual,Manual,First Owner
Hyundai Verna 1.6 SX VTVT (O),Individual,Manual,First Owner
Hyundai i20 Active 1.2,Individual,Manual,First Owner
Maruti Baleno Zeta,Individual,Manual,First Owner
Hyundai i20 1.2 Asta,Individual,Manual,First Owner
Maruti Alto LXI,Individual,Manual,Second Owner
Maruti Swift Dzire VDI,Individual,Manual,First Owner
Maruti Swift Dzire VXI,Individual,Manual,Second Owner
Hyundai Grand i10 CRDi Sportz,Individual,Manual,Second Owner
Maruti Swift 1.3 VXi,Individual,Manual,Second Owner
Maruti Swift Dzire VXI,Individual,Manual,Second Owner
Chevrolet Beat LS,Individual,Manual,Third Owner
Tata Tigor 1.2 Revotron XZA,Individual,Automatic,First Owner
Maruti 800 Std,Individual,Manual,First Owner
Honda City i-DTEC VX,Individual,Manual,First Owner
Honda City i-DTEC VX,Individual,Manual,First Owner
Maruti Ertiga VXI,Individual,Manual,Third Owner
Nissan Terrano XV Premium 110 PS,Individual,Manual,Second Owner
Honda City i VTEC VX,Individual,Manual,First Owner
Mahindra Willys CJ 3B 4X4,Individual,Manual,Third Owner
Renault KWID RXL,Individual,Manual,First Owner
Toyota Innova 2.5 GX (Diesel) 8 Seater,Individual,Manual,Second Owner
Maruti Wagon R VXI BS IV,Individual,Manual,First Owner
Hyundai Creta 1.4 CRDi S Plus,Individual,Manual,First Owner
Tata Tiago 1.2 Revotron XZ,Individual,Manual,First Owner
Hyundai Grand i10 1.2 CRDi Sportz,Individual,Manual,First Owner
Maruti Baleno Zeta Automatic,Individual,Automatic,First Owner
Maruti Swift ZXI ABS,Individual,Manual,Third Owner
Maruti Swift Dzire VXi AT,Individual,Automatic,First Owner
Maruti Swift LXI Option,Individual,Manual,First Owner
Hyundai i20 1.2 Asta,Individual,Manual,Fourth & Above Owner
Maruti Zen LXI,Individual,Manual,Fourth & Above Owner
Maruti Celerio LXI,Individual,Manual,First Owner
Toyota Innova 2.5 V Diesel 8-seater,Individual,Manual,Third Owner
Maruti Ritz LDi,Individual,Manual,Third Owner
Nissan Micra Diesel XV,Individual,Manual,First Owner
Maruti Zen LXI,Individual,Manual,Fourth & Above Owner
Hyundai Verna 1.6 SX VTVT (O),Individual,Manual,Second Owner
Maruti Zen Estilo LXI BSIII,Individual,Manual,Second Owner
Hyundai Santro Xing XL,Individual,Manual,Second Owner
Maruti Alto LX,Individual,Manual,Fourth & Above Owner
Maruti Swift Dzire ZDi,Individual,Manual,Fourth & Above Owner
Maruti A-Star Vxi,Individual,Manual,Second Owner
Maruti Ertiga VDI,Individual,Manual,Third Owner
Maruti Swift Ldi BSIII,Individual,Manual,Third Owner
Nissan Micra Diesel XV,Individual,Manual,First Owner
Maruti Wagon R LXI,Individual,Manual,Second Owner
Ford Figo Diesel Titanium,Individual,Manual,Second Owner
Mahindra XUV300 W8 Option BSIV,Dealer,Manual,First Owner
Hyundai Creta 1.6 CRDi AT SX Plus,Individual,Automatic,First Owner
Maruti Swift VXI BSIV,Dealer,Manual,First Owner
Datsun GO T Option BSIV,Dealer,Manual,First Owner
Hyundai Grand i10 Asta,Dealer,Manual,First Owner
Toyota Fortuner 2.8 2WD MT BSIV,Individual,Manual,First Owner
Renault KWID RXL,Dealer,Manual,First Owner
Honda Brio 1.2 VX MT,Dealer,Manual,First Owner
Volkswagen Ameo 1.2 MPI Comfortline Plus,Dealer,Manual,First Owner
Nissan Sunny XV Special Edition,Dealer,Manual,First Owner
Toyota Etios Liva GD SP,Dealer,Manual,Second Owner
Hyundai i10 Sportz,Dealer,Manual,First Owner
Renault Duster 85PS Diesel RxL,Dealer,Manual,First Owner
Mahindra XUV500 W8 2WD,Dealer,Manual,First Owner
Toyota Innova 2.5 V Diesel 7-seater,Individual,Manual,Fourth & Above Owner
Tata Indigo CS eGLX BS IV,Individual,Manual,Second Owner
Hyundai Elantra SX AT,Dealer,Automatic,First Owner
Mercedes-Benz New C-Class 220 CDI AT,Individual,Automatic,First Owner
Tata Nano STD,Dealer,Manual,First Owner
Nissan Micra Diesel XL,Individual,Manual,First Owner
Maruti Wagon R LXI,Individual,Manual,First Owner
Maruti Swift Dzire VDI,Individual,Manual,Second Owner
Hyundai i10 Magna,Individual,Manual,Fourth & Above Owner
Renault KWID RXT,Individual,Manual,First Owner
Volkswagen GTI 1.8 TSI,Individual,Automatic,First Owner
Jaguar XE 2016-2019 2.0L Diesel Prestige,Dealer,Automatic,First Owner
Lexus ES 300h,Dealer,Automatic,First Owner
Jaguar XF 2.0 Diesel Portfolio,Dealer,Automatic,First Owner
Tata Safari Storme EX,Individual,Manual,First Owner
Volvo XC40 D4 Inscription BSIV,Individual,Automatic,First Owner
Toyota Camry 2.5 Hybrid,Trustmark Dealer,Automatic,First Owner
Maruti Wagon R LXI,Trustmark Dealer,Manual,First Owner
Maruti Baleno Alpha 1.3,Dealer,Manual,First Owner
Honda Jazz VX,Trustmark Dealer,Manual,First Owner
Toyota Innova 2.5 VX (Diesel) 7 Seater,Trustmark Dealer,Manual,Second Owner
Maruti Swift AMT VVT VXI,Trustmark Dealer,Automatic,First Owner
Toyota Etios VX,Trustmark Dealer,Manual,First Owner
Maruti Swift AMT ZXI,Dealer,Automatic,First Owner
Hyundai Grand i10 1.2 CRDi Sportz,Dealer,Manual,First Owner
BMW X4 M Sport X xDrive20d,Dealer,Automatic,First Owner
BMW X4 M Sport X xDrive20d,Dealer,Automatic,First Owner
Honda Amaze V CVT Petrol BSIV,Trustmark Dealer,Automatic,First Owner
Skoda Rapid 1.6 MPI AT Elegance,Dealer,Automatic,First Owner
Volvo V40 D3 R-Design,Dealer,Automatic,First Owner
Hyundai i10 Magna,Individual,Manual,Third Owner
Toyota Etios Liva Diesel TRD Sportivo,Individual,Manual,Third Owner
Honda CR-V 2.4L 4WD AT,Individual,Automatic,Second Owner
Maruti Swift Dzire VDI,Individual,Manual,First Owner
Hyundai Verna 1.6 SX CRDi (O),Individual,Manual,Third Owner
Toyota Innova 2.5 G1 Diesel 8-seater,Individual,Manual,Third Owner
Maruti SX4 Celebration Diesel,Individual,Manual,Second Owner
Hyundai Verna XXi ABS (Petrol),Individual,Manual,Second Owner
Hyundai Verna CRDi SX,Individual,Manual,Second Owner
Maruti Alto 800 VXI,Individual,Manual,First Owner
Honda City i-VTEC CVT V,Individual,Automatic,First Owner
Maruti Swift Dzire AMT VDI,Individual,Automatic,First Owner
Tata Indigo LS,Individual,Manual,Second Owner
Maruti Eeco CNG 5 Seater AC,Individual,Manual,First Owner
Maruti Alto K10 VXI,Individual,Manual,Second Owner
Mahindra XUV500 AT W10 AWD,Individual,Automatic,First Owner
Maruti Alto K10 LXI,Individual,Manual,First Owner
Hyundai EON Sportz,Individual,Manual,Second Owner
Tata Tiago 1.2 Revotron XE,Individual,Manual,First Owner
Maruti Eeco Smiles 5 Seater AC,Individual,Manual,Second Owner
Jaguar XE 2016-2019 2.0L Diesel Prestige,Dealer,Automatic,First Owner
Lexus ES 300h,Dealer,Automatic,First Owner
Jaguar XF 2.0 Diesel Portfolio,Dealer,Automatic,First Owner
Tata Safari Storme EX,Individual,Manual,First Owner
Volvo XC40 D4 Inscription BSIV,Individual,Automatic,First Owner
Toyota Camry 2.5 Hybrid,Trustmark Dealer,Automatic,First Owner
Maruti Wagon R LXI,Trustmark Dealer,Manual,First Owner
Maruti Baleno Alpha 1.3,Dealer,Manual,First Owner
Honda Jazz VX,Trustmark Dealer,Manual,First Owner
Toyota Innova 2.5 VX (Diesel) 7 Seater,Trustmark Dealer,Manual,Second Owner
Maruti Swift AMT VVT VXI,Trustmark Dealer,Automatic,First Owner
Toyota Etios VX,Trustmark Dealer,Manual,First Owner
Maruti Swift AMT ZXI,Dealer,Automatic,First Owner
Hyundai Grand i10 1.2 CRDi Sportz,Dealer,Manual,First Owner
BMW X4 M Sport X xDrive20d,Dealer,Automatic,First Owner
BMW X4 M Sport X xDrive20d,Dealer,Automatic,First Owner
Honda Amaze V CVT Petrol BSIV,Trustmark Dealer,Automatic,First Owner
Skoda Rapid 1.6 MPI AT Elegance,Dealer,Automatic,First Owner
Volvo V40 D3 R-Design,Dealer,Automatic,First Owner
Honda Amaze S CVT Diesel BSIV,Individual,Automatic,First Owner
Hyundai Creta 1.4 CRDi Base,Individual,Manual,First Owner
Maruti Alto LXi BSIII,Individual,Manual,Second Owner
Hyundai Xcent 1.1 CRDi S Option,Individual,Manual,Second Owner
Toyota Innova 2.5 G (Diesel) 7 Seater,Individual,Manual,Second Owner
Toyota Etios Liva Diesel,Individual,Manual,First Owner
Maruti Swift Dzire ZDI Plus,Individual,Manual,First Owner
Toyota Innova 2.5 V Diesel 7-seater,Individual,Manual,Second Owner
Nissan Micra Diesel XV,Individual,Manual,Second Owner
Maruti 800 AC BSIII,Individual,Manual,First Owner
Maruti Swift Dzire VDI,Individual,Manual,Second Owner
Volkswagen Polo 1.5 TDI Highline,Individual,Manual,Second Owner
Mahindra Verito 1.5 D2 BSIII,Individual,Manual,Second Owner
Maruti 800 AC BSIII,Individual,Manual,Second Owner
Maruti Swift VDI Optional,Individual,Manual,First Owner
Hyundai Xcent 1.2 Kappa S Option,Individual,Manual,First Owner
Maruti 800 Std,Individual,Manual,Second Owner
Maruti Celerio VXI,Individual,Manual,First Owner
Ford Figo Diesel EXI,Individual,Manual,First Owner
Tata Safari DICOR 2.2 LX 4x2,Individual,Manual,First Owner
